koppen_value,Frequencia_Absoluta,Porcentagem (%),Nome_Clima
1,73,25.259515570934255,"Af   Tropical, rainforest "
3,72,24.91349480968858,"Aw   Tropical, savannah"
2,56,19.377162629757784,"Am   Tropical, monsoon"
14,22,7.612456747404845,
15,17,5.88235294117647,
6,11,3.8062283737024223,"BSh  Arid, steppe, hot"
11,10,3.4602076124567476,"Cwa  Temperate, dry winter, hot summer"
0,10,3.4602076124567476,
9,8,2.768166089965398,"Csb  Temperate, dry summer, warm summer"
8,5,1.7301038062283738,"Csa  Temperate, dry summer, hot summer"
4,3,1.0380622837370241,"BWh  Arid, desert, hot"
25,1,0.34602076124567477,
12,1,0.34602076124567477,"Cwb  Temperate, dry winter, warm summer"
